Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	48684	360001	7.77	SeaLevel__00000m.raw	13.52	86.48	1	0
5	57889	360001	7.44	SeaLevel__00005m.raw	16.08	83.92	1	0
10	58100	360001	7.43	SeaLevel__00010m.raw	16.14	83.86	1	0
15	58342	360001	7.48	SeaLevel__00015m.raw	16.21	83.79	1	0
20	58488	360001	7.67	SeaLevel__00020m.raw	16.25	83.75	1	0
25	58678	360001	7.46	SeaLevel__00025m.raw	16.30	83.70	1	0
30	58798	360001	7.46	SeaLevel__00030m.raw	16.33	83.67	1	0
35	58953	360001	7.84	SeaLevel__00035m.raw	16.38	83.62	1	0
40	59055	360001	7.76	SeaLevel__00040m.raw	16.40	83.60	1	0
45	59195	360001	7.42	SeaLevel__00045m.raw	16.44	83.56	1	0
50	59283	360001	7.41	SeaLevel__00050m.raw	16.47	83.53	1	0
55	59419	360001	7.41	SeaLevel__00055m.raw	16.51	83.49	1	0
60	59508	360001	7.61	SeaLevel__00060m.raw	16.53	83.47	1	0
65	59623	360001	7.43	SeaLevel__00065m.raw	16.56	83.44	1	0
70	59700	360001	7.45	SeaLevel__00070m.raw	16.58	83.42	1	0
75	59803	360001	7.45	SeaLevel__00075m.raw	16.61	83.39	1	0
80	59895	360001	7.85	SeaLevel__00080m.raw	16.64	83.36	1	0
85	60015	360001	7.45	SeaLevel__00085m.raw	16.67	83.33	1	0
90	60092	360001	7.43	SeaLevel__00090m.raw	16.69	83.31	1	0
95	60191	360001	7.42	SeaLevel__00095m.raw	16.72	83.28	1	0
100	60268	360001	7.6	SeaLevel__00100m.raw	16.74	83.26	1	0
105	60366	360001	7.42	SeaLevel__00105m.raw	16.77	83.23	1	0
110	60432	360001	7.39	SeaLevel__00110m.raw	16.79	83.21	1	0
115	60541	360001	7.43	SeaLevel__00115m.raw	16.82	83.18	1	0
120	60600	360001	7.66	SeaLevel__00120m.raw	16.83	83.17	1	0
125	60727	360001	7.39	SeaLevel__00125m.raw	16.87	83.13	1	0
130	60791	360001	7.42	SeaLevel__00130m.raw	16.89	83.11	1	0
135	60911	360001	7.38	SeaLevel__00135m.raw	16.92	83.08	1	0
140	60981	360001	7.68	SeaLevel__00140m.raw	16.94	83.06	1	0
145	61085	360001	7.43	SeaLevel__00145m.raw	16.97	83.03	1	0
150	61152	360001	7.37	SeaLevel__00150m.raw	16.99	83.01	1	0
155	61265	360001	7.46	SeaLevel__00155m.raw	17.02	82.98	1	0
160	61354	360001	7.73	SeaLevel__00160m.raw	17.04	82.96	1	0
165	61462	360001	7.42	SeaLevel__00165m.raw	17.07	82.93	1	0
170	61557	360001	7.37	SeaLevel__00170m.raw	17.10	82.90	1	0
175	61679	360001	7.45	SeaLevel__00175m.raw	17.13	82.87	1	0
180	61779	360001	7.79	SeaLevel__00180m.raw	17.16	82.84	1	0
185	61919	360001	7.43	SeaLevel__00185m.raw	17.20	82.80	1	0
190	62018	360001	7.44	SeaLevel__00190m.raw	17.23	82.77	1	0
195	62177	360001	7.46	SeaLevel__00195m.raw	17.27	82.73	1	0
200	62312	360001	7.8	SeaLevel__00200m.raw	17.31	82.69	1	0
