Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	1765802	2880001	63.89	SeaLevel__00000m.raw	61.31	38.69	1	0
5	1789056	2880001	64.45	SeaLevel__00005m.raw	62.12	37.88	1	0
10	1799262	2880001	65.22	SeaLevel__00010m.raw	62.47	37.53	1	0
15	1811182	2880001	66.46	SeaLevel__00015m.raw	62.89	37.11	1	0
20	1818528	2880001	65.19	SeaLevel__00020m.raw	63.14	36.86	1	0
25	1828923	2880001	67.19	SeaLevel__00025m.raw	63.50	36.50	1	0
30	1835762	2880001	66.48	SeaLevel__00030m.raw	63.74	36.26	1	0
35	1845556	2880001	64.96	SeaLevel__00035m.raw	64.08	35.92	1	0
40	1851654	2880001	63.19	SeaLevel__00040m.raw	64.29	35.71	1	0
45	1860412	2880001	63.07	SeaLevel__00045m.raw	64.60	35.40	1	0
50	1865949	2880001	66.73	SeaLevel__00050m.raw	64.79	35.21	1	0
55	1873831	2880001	67.78	SeaLevel__00055m.raw	65.06	34.94	1	0
60	1879088	2880001	65.1	SeaLevel__00060m.raw	65.25	34.75	1	0
65	1887018	2880001	64.94	SeaLevel__00065m.raw	65.52	34.48	1	0
70	1891917	2880001	68.59	SeaLevel__00070m.raw	65.69	34.31	1	0
75	1899328	2880001	69.02	SeaLevel__00075m.raw	65.95	34.05	1	0
80	1904527	2880001	72.33	SeaLevel__00080m.raw	66.13	33.87	1	0
85	1911981	2880001	67.14	SeaLevel__00085m.raw	66.39	33.61	1	0
90	1917204	2880001	68.55	SeaLevel__00090m.raw	66.57	33.43	1	0
95	1924742	2880001	71.35	SeaLevel__00095m.raw	66.83	33.17	1	0
100	1929876	2880001	70.31	SeaLevel__00100m.raw	67.01	32.99	1	0
105	1936781	2880001	65.18	SeaLevel__00105m.raw	67.25	32.75	1	0
110	1941265	2880001	64.61	SeaLevel__00110m.raw	67.41	32.59	1	0
115	1947833	2880001	66.18	SeaLevel__00115m.raw	67.63	32.37	1	0
120	1952440	2880001	65.46	SeaLevel__00120m.raw	67.79	32.21	1	0
125	1959391	2880001	68.19	SeaLevel__00125m.raw	68.03	31.97	1	0
130	1963982	2880001	65.62	SeaLevel__00130m.raw	68.19	31.81	1	0
135	1970576	2880001	65.26	SeaLevel__00135m.raw	68.42	31.58	1	0
140	1975149	2880001	63.77	SeaLevel__00140m.raw	68.58	31.42	1	0
145	1981621	2880001	64.24	SeaLevel__00145m.raw	68.81	31.19	1	0
150	1986238	2880001	64.38	SeaLevel__00150m.raw	68.97	31.03	1	0
155	1994089	2880001	65.97	SeaLevel__00155m.raw	69.24	30.76	1	0
160	1999111	2880001	64.18	SeaLevel__00160m.raw	69.41	30.59	1	0
165	2005723	2880001	63.44	SeaLevel__00165m.raw	69.64	30.36	1	0
170	2010300	2880001	63.21	SeaLevel__00170m.raw	69.80	30.20	1	0
175	2016517	2880001	65	SeaLevel__00175m.raw	70.02	29.98	1	0
180	2020881	2880001	64.69	SeaLevel__00180m.raw	70.17	29.83	1	0
185	2027519	2880001	65.82	SeaLevel__00185m.raw	70.40	29.60	1	0
190	2031880	2880001	65.58	SeaLevel__00190m.raw	70.55	29.45	1	0
195	2038441	2880001	64.33	SeaLevel__00195m.raw	70.78	29.22	1	0
200	2043273	2880001	64.8	SeaLevel__00200m.raw	70.95	29.05	1	0
250	2104746	2880001	67.51	SeaLevel__00250m.raw	73.08	26.92	1	0
500	2370314	2880001	65.13	SeaLevel__00500m.raw	82.30	17.70	1	0
750	2470793	2880001	65.44	SeaLevel__00750m.raw	85.79	14.21	1	0
1000	2546874	2880001	64.93	SeaLevel__01000m.raw	88.43	11.57	1	0
1250	2610213	2880001	64.32	SeaLevel__01250m.raw	90.63	9.37	1	0
1500	2682819	2880001	64.82	SeaLevel__01500m.raw	93.15	6.85	1	0
1750	2741951	2880001	65.69	SeaLevel__01750m.raw	95.21	4.79	1	0
2000	2792684	2880001	64.17	SeaLevel__02000m.raw	96.97	3.03	1	0
2250	2833448	2880001	65.05	SeaLevel__02250m.raw	98.38	1.62	1	0
2500	2856331	2880001	64.15	SeaLevel__02500m.raw	99.18	0.82	1	0
2750	2868341	2880001	64.6	SeaLevel__02750m.raw	99.60	0.40	1	0
3000	2874209	2880001	63.1	SeaLevel__03000m.raw	99.80	0.20	1	0
