Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	1366257	2160001	49.14	SeaLevel__00000m.raw	63.25	36.75	1	0
5	1379718	2160001	49.14	SeaLevel__00005m.raw	63.88	36.12	1	0
10	1389620	2160001	47.83	SeaLevel__00010m.raw	64.33	35.67	1	0
15	1401735	2160001	47.81	SeaLevel__00015m.raw	64.90	35.10	1	0
20	1408683	2160001	47.53	SeaLevel__00020m.raw	65.22	34.78	1	0
25	1418652	2160001	47.64	SeaLevel__00025m.raw	65.68	34.32	1	0
30	1425209	2160001	48.46	SeaLevel__00030m.raw	65.98	34.02	1	0
35	1434790	2160001	52.33	SeaLevel__00035m.raw	66.43	33.57	1	0
40	1440548	2160001	49.42	SeaLevel__00040m.raw	66.69	33.31	1	0
45	1448573	2160001	53.93	SeaLevel__00045m.raw	67.06	32.94	1	0
50	1453640	2160001	53.57	SeaLevel__00050m.raw	67.30	32.70	1	0
55	1461372	2160001	51.86	SeaLevel__00055m.raw	67.66	32.34	1	0
60	1466275	2160001	51.4	SeaLevel__00060m.raw	67.88	32.12	1	0
65	1473419	2160001	48.13	SeaLevel__00065m.raw	68.21	31.79	1	0
70	1477594	2160001	47.84	SeaLevel__00070m.raw	68.41	31.59	1	0
75	1483522	2160001	48.09	SeaLevel__00075m.raw	68.68	31.32	1	0
80	1487202	2160001	49.27	SeaLevel__00080m.raw	68.85	31.15	1	0
85	1492463	2160001	49.25	SeaLevel__00085m.raw	69.10	30.90	1	0
90	1495874	2160001	48.46	SeaLevel__00090m.raw	69.25	30.75	1	0
95	1500713	2160001	49.02	SeaLevel__00095m.raw	69.48	30.52	1	0
100	1503828	2160001	49.44	SeaLevel__00100m.raw	69.62	30.38	1	0
105	1508462	2160001	48.82	SeaLevel__00105m.raw	69.84	30.16	1	0
110	1511519	2160001	48.98	SeaLevel__00110m.raw	69.98	30.02	1	0
115	1516052	2160001	49.08	SeaLevel__00115m.raw	70.19	29.81	1	0
120	1519154	2160001	48.59	SeaLevel__00120m.raw	70.33	29.67	1	0
125	1523908	2160001	49.29	SeaLevel__00125m.raw	70.55	29.45	1	0
130	1527346	2160001	48.84	SeaLevel__00130m.raw	70.71	29.29	1	0
135	1533165	2160001	50.16	SeaLevel__00135m.raw	70.98	29.02	1	0
140	1537116	2160001	49.89	SeaLevel__00140m.raw	71.16	28.84	1	0
145	1542949	2160001	49.42	SeaLevel__00145m.raw	71.43	28.57	1	0
150	1546641	2160001	49.87	SeaLevel__00150m.raw	71.60	28.40	1	0
155	1552157	2160001	50.93	SeaLevel__00155m.raw	71.86	28.14	1	0
160	1555581	2160001	50.78	SeaLevel__00160m.raw	72.02	27.98	1	0
165	1560755	2160001	50.15	SeaLevel__00165m.raw	72.26	27.74	1	0
170	1564196	2160001	49.53	SeaLevel__00170m.raw	72.42	27.58	1	0
175	1569250	2160001	51.12	SeaLevel__00175m.raw	72.65	27.35	1	0
180	1572530	2160001	49.16	SeaLevel__00180m.raw	72.80	27.20	1	0
185	1577109	2160001	51.04	SeaLevel__00185m.raw	73.01	26.99	1	0
190	1580169	2160001	49.76	SeaLevel__00190m.raw	73.16	26.84	1	0
195	1584659	2160001	48.64	SeaLevel__00195m.raw	73.36	26.64	1	0
200	1587466	2160001	51.77	SeaLevel__00200m.raw	73.49	26.51	1	0
250	1616393	2160001	49.73	SeaLevel__00250m.raw	74.83	25.17	1	0
500	1724691	2160001	50.91	SeaLevel__00500m.raw	79.85	20.15	1	0
750	1804471	2160001	49.12	SeaLevel__00750m.raw	83.54	16.46	1	0
1000	1882119	2160001	48.93	SeaLevel__01000m.raw	87.14	12.86	1	0
1250	1972699	2160001	50.42	SeaLevel__01250m.raw	91.33	8.67	1	0
1500	2050616	2160001	52.3	SeaLevel__01500m.raw	94.94	5.06	1	0
1750	2088316	2160001	49.66	SeaLevel__01750m.raw	96.68	3.32	1	0
2000	2107123	2160001	49.42	SeaLevel__02000m.raw	97.55	2.45	1	0
2250	2118842	2160001	49.56	SeaLevel__02250m.raw	98.09	1.91	1	0
2500	2124994	2160001	50.82	SeaLevel__02500m.raw	98.38	1.62	1	0
2750	2129541	2160001	51.14	SeaLevel__02750m.raw	98.59	1.41	1	0
3000	2133292	2160001	50.55	SeaLevel__03000m.raw	98.76	1.24	1	0
