Sea level (m)	Points changed	Points total	Processing time (s)	Output filename	Water area (%)	Land area (%)	Errors (-)	Errors (+)
0	1058086	2160001	48.9	SeaLevel__00000m.raw	48.99	51.01	1	0
5	1080756	2160001	48.61	SeaLevel__00005m.raw	50.03	49.97	1	0
10	1091127	2160001	48.68	SeaLevel__00010m.raw	50.52	49.48	1	0
15	1104675	2160001	48.32	SeaLevel__00015m.raw	51.14	48.86	1	0
20	1113713	2160001	52	SeaLevel__00020m.raw	51.56	48.44	1	0
25	1127282	2160001	49.77	SeaLevel__00025m.raw	52.19	47.81	1	0
30	1135125	2160001	50.51	SeaLevel__00030m.raw	52.55	47.45	1	0
35	1147266	2160001	50.09	SeaLevel__00035m.raw	53.11	46.89	1	0
40	1155472	2160001	49.25	SeaLevel__00040m.raw	53.49	46.51	1	0
45	1168618	2160001	49.99	SeaLevel__00045m.raw	54.10	45.90	1	0
50	1177006	2160001	49.52	SeaLevel__00050m.raw	54.49	45.51	1	0
55	1189575	2160001	49.53	SeaLevel__00055m.raw	55.07	44.93	1	0
60	1198144	2160001	48.75	SeaLevel__00060m.raw	55.47	44.53	1	0
65	1211082	2160001	48.13	SeaLevel__00065m.raw	56.07	43.93	1	0
70	1220206	2160001	48.96	SeaLevel__00070m.raw	56.49	43.51	1	0
75	1235061	2160001	48.12	SeaLevel__00075m.raw	57.18	42.82	1	0
80	1246928	2160001	49.03	SeaLevel__00080m.raw	57.73	42.27	1	0
85	1261823	2160001	48.59	SeaLevel__00085m.raw	58.42	41.58	1	0
90	1272121	2160001	47.89	SeaLevel__00090m.raw	58.89	41.11	1	0
95	1288133	2160001	48.25	SeaLevel__00095m.raw	59.64	40.36	1	0
100	1298473	2160001	48.67	SeaLevel__00100m.raw	60.11	39.89	1	0
105	1313871	2160001	48.52	SeaLevel__00105m.raw	60.83	39.17	1	0
110	1324121	2160001	48.19	SeaLevel__00110m.raw	61.30	38.70	1	0
115	1340729	2160001	48.25	SeaLevel__00115m.raw	62.07	37.93	1	0
120	1352166	2160001	48.5	SeaLevel__00120m.raw	62.60	37.40	1	0
125	1370155	2160001	48.25	SeaLevel__00125m.raw	63.43	36.57	1	0
130	1382427	2160001	48.29	SeaLevel__00130m.raw	64.00	36.00	1	0
135	1401610	2160001	47.73	SeaLevel__00135m.raw	64.89	35.11	1	0
140	1414624	2160001	47.56	SeaLevel__00140m.raw	65.49	34.51	1	0
145	1434044	2160001	48.58	SeaLevel__00145m.raw	66.39	33.61	1	0
150	1447082	2160001	47.68	SeaLevel__00150m.raw	66.99	33.01	1	0
155	1468129	2160001	47.61	SeaLevel__00155m.raw	67.97	32.03	1	0
160	1481391	2160001	47.56	SeaLevel__00160m.raw	68.58	31.42	1	0
165	1500422	2160001	46.93	SeaLevel__00165m.raw	69.46	30.54	1	0
170	1512464	2160001	47.41	SeaLevel__00170m.raw	70.02	29.98	1	0
175	1530020	2160001	48.29	SeaLevel__00175m.raw	70.83	29.17	1	0
180	1541581	2160001	48.65	SeaLevel__00180m.raw	71.37	28.63	1	0
185	1558173	2160001	47.51	SeaLevel__00185m.raw	72.14	27.86	1	0
190	1568710	2160001	48.15	SeaLevel__00190m.raw	72.63	27.37	1	0
195	1583982	2160001	48.77	SeaLevel__00195m.raw	73.33	26.67	1	0
200	1593887	2160001	48.69	SeaLevel__00200m.raw	73.79	26.21	1	0
250	1686144	2160001	49.05	SeaLevel__00250m.raw	78.06	21.94	1	0
500	1872546	2160001	48.38	SeaLevel__00500m.raw	86.69	13.31	1	0
750	1983437	2160001	47.95	SeaLevel__00750m.raw	91.83	8.17	1	0
1000	2059605	2160001	48.91	SeaLevel__01000m.raw	95.35	4.65	1	0
1250	2107037	2160001	47.73	SeaLevel__01250m.raw	97.55	2.45	1	0
1500	2131717	2160001	47.9	SeaLevel__01500m.raw	98.69	1.31	1	0
1750	2144824	2160001	47.44	SeaLevel__01750m.raw	99.30	0.70	1	0
2000	2151583	2160001	49.9	SeaLevel__02000m.raw	99.61	0.39	1	0
2250	2155411	2160001	50.6	SeaLevel__02250m.raw	99.79	0.21	1	0
2500	2157684	2160001	49.49	SeaLevel__02500m.raw	99.89	0.11	1	0
2750	2158973	2160001	48.46	SeaLevel__02750m.raw	99.95	0.05	1	0
3000	2159633	2160001	48.63	SeaLevel__03000m.raw	99.98	0.02	1	0
